,story_key,treatment_key,author_stance,editor_stance,bertscore_precision,bertscore_recall,bertscore_f1,fact_presence_avg
101,ai_regulation,pro_vs_anti,pro,anti,0.032479818910360336,0.4745364487171173,0.24532996118068695,0.472791850566864
102,ai_regulation,pro_vs_anti,pro,anti,0.4557843804359436,0.7142154574394226,0.5826593041419983,0.17015239596366882
103,ai_regulation,pro_vs_anti,pro,anti,-0.03495500236749649,0.14207834005355835,0.05353546887636185,0.1954554319381714
104,ai_regulation,pro_vs_anti,pro,anti,0.06270059943199158,0.47812286019325256,0.2633313238620758,0.44183456897735596
105,ai_regulation,pro_vs_anti,pro,anti,0.17796653509140015,0.32720035314559937,0.2527294158935547,0.15510547161102295
106,ai_regulation,pro_vs_anti,pro,anti,0.22100575268268585,0.6412226557731628,0.4238339066505432,0.18558034300804138
107,ai_regulation,pro_vs_anti,pro,anti,0.3059108257293701,0.7588989734649658,0.5238059163093567,0.17837366461753845
108,ai_regulation,pro_vs_anti,pro,anti,0.017197508364915848,-0.038442764431238174,-0.009139125235378742,0.11271955817937851
109,ai_regulation,pro_vs_anti,pro,anti,-0.1257903128862381,-0.045110467821359634,-0.08401970565319061,0.11690643429756165
110,ai_regulation,anti_vs_pro,anti,pro,0.03516583517193794,0.0866461992263794,0.06230059638619423,0.18985584378242493
111,ai_regulation,anti_vs_pro,anti,pro,0.1764107495546341,0.5264295935630798,0.34669697284698486,0.16176721453666687
112,ai_regulation,anti_vs_pro,anti,pro,0.015088102780282497,0.22761385142803192,0.12055395543575287,0.18396463990211487
113,ai_regulation,anti_vs_pro,anti,pro,-0.029421305283904076,0.11016461998224258,0.040956899523735046,0.11913319677114487
114,ai_regulation,anti_vs_pro,anti,pro,0.18253767490386963,0.6000679135322571,0.3841311037540436,0.21678760647773743
115,ai_regulation,anti_vs_pro,anti,pro,0.04081520810723305,0.12211060523986816,0.08262860029935837,0.24234303832054138
116,ai_regulation,anti_vs_pro,anti,pro,0.1765444576740265,0.44322121143341064,0.3076256215572357,0.38940685987472534
117,ai_regulation,anti_vs_pro,anti,pro,0.17514361441135406,0.44397076964378357,0.30724525451660156,0.24842336773872375
118,ai_regulation,anti_vs_pro,anti,pro,-0.041164711117744446,-0.051236268132925034,-0.04450617730617523,0.07225990295410156
119,ai_regulation,anti_vs_pro,anti,pro,-0.023766273632645607,0.15625667572021484,0.06614900380373001,0.12237926572561264
120,ai_regulation,neutral_vs_pro,neutral,pro,0.11882039904594421,0.12951122224330902,0.12558333575725555,0.12673993408679962
121,ai_regulation,neutral_vs_pro,neutral,pro,0.043113868683576584,-0.04032811522483826,0.0026614286471158266,0.07057516276836395
122,ai_regulation,neutral_vs_pro,neutral,pro,0.0754801332950592,0.6525415182113647,0.3493707776069641,0.8929564952850342
123,ai_regulation,neutral_vs_pro,neutral,pro,-0.0750008076429367,0.22527430951595306,0.07215452194213867,0.6604846715927124
124,ai_regulation,neutral_vs_pro,neutral,pro,-0.1962539404630661,0.02336490899324417,-0.08715719729661942,0.8377577662467957
125,ai_regulation,neutral_vs_pro,neutral,pro,0.017620591446757317,0.22124256193637848,0.1188192218542099,0.3349645435810089
126,ai_regulation,neutral_vs_pro,neutral,pro,0.001589748077094555,0.042408015578985214,0.02350504696369171,0.1588221937417984
127,ai_regulation,neutral_vs_pro,neutral,pro,0.0034097868483513594,0.5248073935508728,0.2522642910480499,0.8368664979934692
128,ai_regulation,neutral_vs_pro,neutral,pro,0.06275153905153275,0.46072351932525635,0.255338579416275,0.8499497175216675
129,ai_regulation,neutral_vs_pro,neutral,pro,0.09019114077091217,0.04867565631866455,0.0708584189414978,0.16978950798511505
130,ai_regulation,pro_vs_neutral,pro,neutral,-0.18074239790439606,0.03666706755757332,-0.07271640002727509,0.7633509039878845
131,ai_regulation,pro_vs_neutral,pro,neutral,-0.05489937216043472,0.06970103085041046,0.008232912048697472,0.32180076837539673
132,ai_regulation,pro_vs_neutral,pro,neutral,-0.16494926810264587,0.018719801679253578,-0.07309852540493011,0.8151129484176636
133,ai_regulation,pro_vs_neutral,pro,neutral,0.02675510011613369,0.2871414124965668,0.15500031411647797,0.37056344747543335
134,ai_regulation,pro_vs_neutral,pro,neutral,0.036664318293333054,0.2349988967180252,0.13530376553535461,0.49685439467430115
135,ai_regulation,pro_vs_neutral,pro,neutral,-0.047714728862047195,0.07279187440872192,0.01341309119015932,0.45268556475639343
136,ai_regulation,pro_vs_neutral,pro,neutral,-0.0811111107468605,0.1737547069787979,0.044622719287872314,0.38743528723716736
137,ai_regulation,pro_vs_neutral,pro,neutral,-0.06623702496290207,0.19698980450630188,0.06344272196292877,0.35762667655944824
138,ai_regulation,pro_vs_neutral,pro,neutral,0.06572125852108002,0.3287910521030426,0.19520074129104614,0.5136370062828064
139,ai_regulation,pro_vs_neutral,pro,neutral,-0.09016107022762299,0.2244044989347458,0.06370759010314941,0.6074066162109375
140,ai_regulation,control,neutral,neutral,-0.00630699098110199,-0.013237780891358852,-0.008134379982948303,0.09220618009567261
141,ai_regulation,control,neutral,neutral,-0.11232415586709976,0.07143675535917282,-0.020496461540460587,0.40894925594329834
142,ai_regulation,control,neutral,neutral,-0.08886034041643143,-0.011361979879438877,-0.04871021583676338,0.1953510195016861
143,ai_regulation,control,neutral,neutral,-0.19850024580955505,0.016295727342367172,-0.09170132875442505,0.8035286664962769
144,ai_regulation,control,neutral,neutral,-0.03145536407828331,0.0023321048356592655,-0.012970225885510445,0.35278958082199097
145,ai_regulation,control,neutral,neutral,-0.04675111547112465,-0.012639278545975685,-0.028080614283680916,0.08211077004671097
146,ai_regulation,control,neutral,neutral,-0.1964690238237381,0.01944528892636299,-0.08913914114236832,0.8845911026000977
147,ai_regulation,control,neutral,neutral,-0.019733181223273277,-0.05150509625673294,-0.03398866206407547,0.15916407108306885
148,ai_regulation,control,neutral,neutral,-0.028006309643387794,0.005507842171937227,-0.009662157855927944,0.17870008945465088
149,ai_regulation,control,neutral,neutral,-0.10031083971261978,0.22025637328624725,0.05637277290225029,0.3487613797187805
150,housing,pro_vs_anti,pro,anti,-0.004588478244841099,-0.05057515576481819,-0.026021325960755348,0.4347861111164093
151,housing,pro_vs_anti,pro,anti,0.01720670610666275,-0.0425717867910862,-0.011219602078199387,0.27252987027168274
152,housing,pro_vs_anti,pro,anti,-0.02686263807117939,-0.14496968686580658,-0.08487294614315033,0.05634913966059685
153,housing,pro_vs_anti,pro,anti,0.6028276085853577,0.8807230591773987,0.7388045787811279,0.8542139530181885
154,housing,pro_vs_anti,pro,anti,-0.06898601353168488,-0.0025818340945988894,-0.03432416543364525,0.3616289496421814
155,housing,pro_vs_anti,pro,anti,-0.012493000365793705,0.06508174538612366,0.027575593441724777,0.506243884563446
156,housing,pro_vs_anti,pro,anti,-0.04471033811569214,-0.08500951528549194,-0.06321386992931366,0.28280550241470337
157,housing,pro_vs_anti,pro,anti,0.12784454226493835,0.37146860361099243,0.24802352488040924,0.7290661334991455
158,housing,pro_vs_anti,pro,anti,-0.03053455427289009,0.27510911226272583,0.11910952627658844,0.6594245433807373
159,housing,pro_vs_anti,pro,anti,-0.09644506871700287,-0.11904805898666382,-0.10597366094589233,0.08533909916877747
160,housing,anti_vs_pro,anti,pro,0.393608033657074,0.5990856289863586,0.49522876739501953,0.7997910976409912
161,housing,anti_vs_pro,anti,pro,0.19396942853927612,0.38297879695892334,0.2879272997379303,0.7553489804267883
162,housing,anti_vs_pro,anti,pro,-0.04653250053524971,0.009795335121452808,-0.016874078661203384,0.4833434820175171
163,housing,anti_vs_pro,anti,pro,-0.04543163254857063,-0.011808734387159348,-0.02700558863580227,0.43301570415496826
164,housing,anti_vs_pro,anti,pro,0.2310883104801178,0.4898169934749603,0.35834214091300964,0.8421342372894287
165,housing,anti_vs_pro,anti,pro,0.2781517803668976,0.6194831132888794,0.4443187117576599,0.8993708491325378
166,housing,anti_vs_pro,anti,pro,0.12272968143224716,0.6939110159873962,0.39405351877212524,0.843220591545105
167,housing,anti_vs_pro,anti,pro,0.5583864450454712,0.7985918521881104,0.6764506697654724,0.8523266911506653
168,housing,anti_vs_pro,anti,pro,0.2645091116428375,0.5657806992530823,0.41186702251434326,0.8342349529266357
169,housing,anti_vs_pro,anti,pro,0.13031548261642456,0.4554300308227539,0.28898218274116516,0.6992987394332886
170,housing,neutral_vs_pro,neutral,pro,0.07771866023540497,0.04951292276382446,0.06509692966938019,0.5021967887878418
171,housing,neutral_vs_pro,neutral,pro,-0.04773949086666107,0.04306381940841675,-0.0011244677007198334,0.41726207733154297
172,housing,neutral_vs_pro,neutral,pro,0.027262728661298752,0.000537307292688638,0.01546566840261221,0.4414878189563751
173,housing,neutral_vs_pro,neutral,pro,0.1692827045917511,0.4476777911186218,0.30592018365859985,0.8236682415008545
174,housing,neutral_vs_pro,neutral,pro,0.018529726192355156,0.02874753251671791,0.02522035501897335,0.45189759135246277
175,housing,neutral_vs_pro,neutral,pro,0.005328875035047531,0.06264600157737732,0.03539353981614113,0.4388798475265503
176,housing,neutral_vs_pro,neutral,pro,-0.04156656935811043,-0.14053893089294434,-0.0897875428199768,0.059267558157444
177,housing,neutral_vs_pro,neutral,pro,0.08062011003494263,0.41288405656814575,0.2426653504371643,0.8239190578460693
178,housing,neutral_vs_pro,neutral,pro,0.12491974234580994,0.3541509509086609,0.2382412999868393,0.851549506187439
179,housing,neutral_vs_pro,neutral,pro,0.008937468752264977,-0.03444072604179382,-0.01120265107601881,0.334774911403656
180,housing,pro_vs_neutral,pro,neutral,0.11867253482341766,0.5429743528366089,0.3233865201473236,0.8361241817474365
181,housing,pro_vs_neutral,pro,neutral,0.2650963366031647,0.5480640530586243,0.40380892157554626,0.8797537088394165
182,housing,pro_vs_neutral,pro,neutral,0.10539563000202179,0.46681004762649536,0.281026154756546,0.8456096649169922
183,housing,pro_vs_neutral,pro,neutral,0.20097896456718445,0.5988468527793884,0.3934902250766754,0.8438562154769897
184,housing,pro_vs_neutral,pro,neutral,0.1319236159324646,0.5382287502288818,0.3283463418483734,0.8648302555084229
185,housing,pro_vs_neutral,pro,neutral,0.34119197726249695,0.6726571321487427,0.5026928782463074,0.8760873079299927
186,housing,pro_vs_neutral,pro,neutral,0.1888570487499237,0.5625423789024353,0.3701585829257965,0.8388063311576843
187,housing,pro_vs_neutral,pro,neutral,0.08455485850572586,0.4761059284210205,0.27417057752609253,0.8848580121994019
188,housing,pro_vs_neutral,pro,neutral,0.15233175456523895,0.5591604113578796,0.3489932417869568,0.8949795365333557
189,housing,pro_vs_neutral,pro,neutral,0.2818456292152405,0.5951210856437683,0.4348430335521698,0.8962923288345337
190,housing,control,neutral,neutral,-0.07974245399236679,-0.15462565422058105,-0.1156616061925888,0.06403854489326477
191,housing,control,neutral,neutral,0.3002055585384369,0.6052259206771851,0.44930076599121094,0.8136159181594849
192,housing,control,neutral,neutral,-0.07269011437892914,-0.14882740378379822,-0.10925595462322235,0.06195003166794777
193,housing,control,neutral,neutral,0.32776862382888794,0.6456742882728577,0.4829094409942627,0.8448617458343506
194,housing,control,neutral,neutral,-0.07477299124002457,-0.04248088225722313,-0.05695972591638565,0.32649385929107666
195,housing,control,neutral,neutral,-0.07736809551715851,-0.13636711239814758,-0.10525073856115341,0.061399221420288086
196,housing,control,neutral,neutral,0.13373622298240662,0.6229453682899475,0.368118017911911,0.8829807043075562
197,housing,control,neutral,neutral,0.0784703716635704,-0.0545552633702755,0.012666506692767143,0.43020373582839966
198,housing,control,neutral,neutral,0.2630162835121155,0.7064236402511597,0.4765112102031708,0.825751543045044
199,housing,control,neutral,neutral,0.4647957682609558,0.6346731185913086,0.5491562485694885,0.880138635635376
200,vaccines,pro_vs_anti,pro,anti,-0.022210486233234406,0.0010183724807575345,-0.008980908431112766,0.3978953957557678
201,vaccines,pro_vs_anti,pro,anti,-0.052834536880254745,-0.10057869553565979,-0.07507552206516266,0.3304038643836975
202,vaccines,pro_vs_anti,pro,anti,-0.02923700213432312,0.01881990395486355,-0.00369089562445879,0.29523420333862305
203,vaccines,pro_vs_anti,pro,anti,0.4291509687900543,0.5263369083404541,0.47815871238708496,0.7081891298294067
204,vaccines,pro_vs_anti,pro,anti,0.2614647448062897,0.5434847474098206,0.3997320234775543,0.794760525226593
205,vaccines,pro_vs_anti,pro,anti,0.3388859033584595,0.5904487371444702,0.4626167416572571,0.7555385828018188
206,vaccines,pro_vs_anti,pro,anti,-0.08503171056509018,-0.00782084558159113,-0.045028503984212875,0.3142367899417877
207,vaccines,pro_vs_anti,pro,anti,0.1384287178516388,0.455071359872818,0.2931163012981415,0.677562415599823
